rooms,floor,totfloors,lon,lat,m2,price
2,7,10,39.803057,47.238801,57.60,4200000
2,6,8,39.829458,47.244056,66.00,4100000
2,5,9,39.724014,47.300037,40.00,1750000
2,1,4,39.779763,47.230615,42.00,1850000
3,3,5,39.751242,47.271522,58.00,2500000
1,1,5,39.642743,47.211434,30.00,1995000
2,3,5,39.664743,47.26992,46.00,2550000
3,1,18,39.619369,47.229421,86.00,6000000
2,2,10,39.726053,47.232395,61.00,5450000
2,7,14,39.715471,47.282686,47.00,2950000
2,7,9,39.706452,47.295778,52.00,2600000
3,7,15,39.677391,47.210571,130.00,16000000
2,5,9,39.736968,47.288988,52.00,2650000
3,2,9,39.705904,47.280681,62.00,3700000
3,1,5,39.74719,47.271045,54.00,3100000
2,5,5,39.733473,47.23603,50.00,3400000
3,4,17,39.730913,47.230566,105.00,9000000
3,4,5,39.720097,47.249109,60.00,3200000
1,3,5,39.619881,47.204101,30.00,2000000
1,1,1,39.755284,47.232646,23.50,1650000
0,1,9,39.722945,47.298864,22.00,1550000
0,2,9,39.74366,47.29689,31.00,1800000
2,9,18,39.711967,47.295973,82.00,4200000
2,8,9,39.704323,47.29337,53.00,3200000
2,15,17,39.600244,47.235118,56.00,3300000
1,2,2,39.723035,47.228761,30.00,1400000
2,9,9,39.704583,47.292276,52.30,2850000
3,3,17,39.60134,47.233099,67.00,3900000
2,4,5,39.81805,47.237755,48.00,2600000
1,7,10,39.746256,47.300062,38.00,2500000
2,8,10,39.742888,47.299561,75.00,4200000
1,11,14,39.731605,47.301938,42.00,2780000
3,2,17,39.598986,47.232811,67.00,5150000
3,4,4,39.668291,47.218975,53.00,2400000
1,4,10,39.720241,47.250173,41.00,3150000
0,3,9,39.724014,47.300037,14.00,850000
2,5,9,39.753263,47.284507,52.00,2800000
2,1,9,39.697091,47.291445,54.00,2800000
2,5,9,39.707144,47.295344,52.00,2500000
0,7,9,39.718292,47.288273,22.00,1700000
3,3,4,39.660746,47.214691,76.00,4300000
4,4,5,39.620205,47.205576,60.00,3200000
2,8,14,39.619198,47.231753,60.00,3500000
2,5,5,39.712533,47.283407,45.00,2500000
1,11,16,39.595636,47.232817,30.00,2400000
1,7,9,39.691863,47.205019,37.00,2100000
1,1,8,39.65134,47.199429,25.00,1550000
1,2,10,39.695582,47.235363,41.00,3200000
2,10,10,39.643022,47.25895,52.00,3350000
